IdMulta;IdFalta;CodigoFalta;TipoFormato;NivelGravedad;IdTiempo;Anio;Mes;MultasImpuestas;ImporteImpuesto;ReincidenciaImpuesta
8973;181;M01;Papeleta de Tránsito;M;3;2022;3;4;18400;0
8974;83;G32;Video Papeleta;G;1;2022;1;2;736;0
8975;81;G32;Papeleta de Tránsito;G;2;2022;2;100;36800;1840
8976;123;G48;Video Papeleta;G;10;2022;10;1;368;0
8977;183;M03;Papeleta de Tránsito;M;1;2022;1;1;2300;0
8978;220;M22;Video Papeleta;M;9;2022;9;1;552;0
8979;185;M05;Papeleta de Tránsito;M;10;2022;10;1;2300;0
8980;118;G47;Papeleta de Tránsito;G;1;2022;1;1;368;0
8981;170;L01;Papeleta de Tránsito;L;8;2022;8;2;368;184
8982;225;M27;Papeleta de Tránsito;M;12;2022;12;15;34500;0
8983;49;G14;Papeleta de Tránsito;G;9;2022;9;175;64400;8464
8984;173;L02;Papeleta de Tránsito;L;6;2022;6;2;460;0
8985;101;G41;Video Papeleta;G;4;2022;4;19;6992;0
8986;43;G11;Papeleta de Tránsito Electrónica;G;4;2022;4;26;9568;0
8987;47;G13;Papeleta de Tránsito;G;5;2022;5;1;368;0
8988;233;M36;Papeleta de Tránsito;M;6;2022;6;1;552;0
8989;202;M16;Video Papeleta;M;11;2022;11;15;8280;0
8990;97;G40;Video Papeleta;G;3;2022;3;1;368;0
8991;44;G11;Video Papeleta;G;2;2022;2;15;5520;0
8992;177;L05;Papeleta de Tránsito;L;8;2022;8;1;184;0
8993;183;M03;Papeleta de Tránsito;M;5;2022;5;1;2300;0
8994;207;M18;Papeleta de Tránsito;M;12;2022;12;251;138552;4968
8995;34;G08;Video Papeleta;G;2;2022;2;5;1840;0
8996;151;G61;Papeleta de Tránsito;G;3;2022;3;20;7360;0
8997;206;M17;Video Papeleta;M;3;2022;3;1;552;0
8998;182;M02;Papeleta de Tránsito;M;2;2022;2;3;6900;0
8999;220;M22;Video Papeleta;M;3;2022;3;1;552;0
9000;225;M27;Papeleta de Tránsito;M;6;2022;6;96;220800;11500
9001;183;M03;Papeleta de Tránsito;M;8;2022;8;12;27600;0
9002;67;G25;Papeleta de Tránsito;G;6;2022;6;1;368;0
9003;185;M05;Papeleta de Tránsito;M;7;2022;7;1;2300;0
9004;118;G47;Papeleta de Tránsito;G;1;2022;1;189;69552;12144
9005;151;G61;Papeleta de Tránsito;G;4;2022;4;6;2208;0
9006;185;M05;Papeleta de Tránsito;M;9;2022;9;2;4600;0
9007;154;G64;Papeleta de Tránsito;G;6;2022;6;14;5152;368
9008;210;M20a;Papeleta Electrónica;M;5;2022;5;10;8280;0
9009;105;G42;Video Papeleta;G;1;2022;1;6;2208;0
9010;212;M20b;Papeleta Electrónica;M;2;2022;2;8;8832;0
9011;237;M40;Papeleta de Tránsito;M;2;2022;2;1;3430;0
9012;183;M03;Papeleta de Tránsito;M;5;2022;5;5;11500;0
9013;95;G40;Papeleta de Tránsito;G;6;2022;6;1;368;0
9014;74;G29;Video Papeleta;G;2;2022;2;2;736;0
9015;183;M03;Papeleta de Tránsito;M;4;2022;4;1;2300;0
9016;182;M02;Papeleta de Tránsito;M;7;2022;7;2;4600;0
9017;71;G28;Papeleta de Tránsito;G;7;2022;7;6;2208;368
9018;97;G40;Video Papeleta;G;4;2022;4;2;736;0
9019;236;M39;Papeleta de Tránsito;M;11;2022;11;1;0;0
9020;237;M40;Papeleta de Tránsito;M;10;2022;10;154;122220;0
9021;100;G41;Papeleta de Tránsito Electrónica;G;8;2022;8;2;736;0
9022;181;M01;Papeleta de Tránsito;M;10;2022;10;22;101200;0
9023;71;G28;Papeleta de Tránsito;G;5;2022;5;6;2208;368
9024;105;G42;Video Papeleta;G;4;2022;4;2;736;0
9025;120;G47;Video Papeleta;G;3;2022;3;110;40480;0
9026;183;M03;Papeleta de Tránsito;M;1;2022;1;48;110400;0
9027;183;M03;Papeleta de Tránsito;M;10;2022;10;1;2300;0
9028;181;M01;Papeleta de Tránsito;M;7;2022;7;3;13800;0
9029;182;M02;Papeleta de Tránsito;M;9;2022;9;84;193200;4600
9030;181;M01;Papeleta de Tránsito;M;5;2022;5;1;4600;0
9031;218;M22;Papeleta de Tránsito;M;9;2022;9;4;2208;0
9032;183;M03;Papeleta de Tránsito;M;2;2022;2;4;9200;0
9033;178;L06;Papeleta de Tránsito;L;6;2022;6;3;552;0
9034;35;G09;Papeleta de Tránsito;G;9;2022;9;1;368;0
9035;83;G32;Video Papeleta;G;2;2022;2;2;736;0
9036;196;M13;Papeleta de Tránsito;M;6;2022;6;1;552;0
9037;182;M02;Papeleta de Tránsito;M;2;2022;2;1;2300;0
9038;44;G11;Video Papeleta;G;1;2022;1;1;368;0
9039;200;M16;Papeleta de Tránsito;M;1;2022;1;1;552;0
9040;237;M40;Papeleta de Tránsito;M;2;2022;2;1;2380;0
